都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,緯度,経度,設置者,電話番号,内線番号,SSID,提供エリア,URL,備考
472018,,沖縄県,那覇市,カメラのキタムラ 那覇/新都心店,,,那覇市 銘苅2-1-1,,26.229225,127.69762,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,ビッグワン 那覇店,,,那覇市 銘苅3-11-4,,26.235394,127.699817,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,MARBLE☆STAR KIDS SHOP,,,那覇市 銘苅1-11-8,,26.2313251,127.7014003,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,はねじ歯科クリニック,,,那覇市 銘苅1-3-41,レゼルアッシュ2B,26.228617,127.699048,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,ぽっぽやはうす,,,那覇市 銘苅180-1,3F,26.233596,127.7026,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,居酒屋 二号線,,,那覇市 銘苅335-1,,26.2377739,127.6964451,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,琉球銀行 那覇新都心支店,,,那覇市 銘苅2-2-1,,26.2296714,127.6973446,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,東洋飯店 那覇店,,,那覇市 銘苅2-11-24,,26.2337243,127.6956761,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,さぬき麺天,,,那覇市 銘苅1-2-17,クレセントビル,26.228034,127.701062,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,ぴかり魚,,,那覇市 銘苅2-5-28,,26.232186,127.699407,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,ベスト電器 BB天久店,,,那覇市 天久1-1-1,,26.229485,127.6908225,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,HAIR MIMU de HOMME,,,那覇市 天久1-6-10,,26.230316,127.69086,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,Beach House,,,那覇市 天久2-28-16,Ryu’s B.L.D,26.234585,127.689387,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,住宅管理コンサルタント,,,那覇市 天久1-8-6,,26.229397,127.691813,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,天久りうぼう,,,那覇市 天久1-2-1,,26.2304689,127.6900337,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,目利きの銀次 新都心店,,,那覇市 天久1-9-19,,26.2301549,127.6928688,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,沖縄銀行 新都心支店,,,那覇市 天久1-1-32,,26.228994,127.691424,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,cafe repas FIELD,,,那覇市 天久2-15-30,201,26.233334,127.6874041,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,auショップ 天久りうぼう楽市,,,那覇市 天久1-1-1,,26.2301535,127.6901768,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,炭焼き居酒屋 串角 新都心店,,,那覇市 天久1-28-17,新里ビル,26.2334888,127.6927192,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,天久ドライビングスクール,,,那覇市 天久1044,,26.2329716,127.6853951,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,Garden Studio TIDA,,,那覇市 天久2-22-18,,26.235035,127.68719,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,パーリーゲイツ沖縄,,,那覇市 天久2-6-14,1F,26.2319297,127.6860658,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,牛角 天久店,,,那覇市 天久1-28-28,,26.23301,127.693584,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,沖縄銀行 ローンFPステーション新都心店,,,那覇市 天久1-1-32,,26.2291728,127.6915175,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,クオリティーモンド 店舗,,,那覇市 天久1174-5,1F,26.232539,127.6823868,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
