都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,緯度,経度,設置者,電話番号,内線番号,SSID,提供エリア,URL,備考
270008,,大阪府,,有限会社インテリア三愛,,Interior SANAI Ltd.,大阪府八尾市西弓削 ２丁目３８－５,,34.5942314,135.6075981,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,ｇｌｏｗ,,Glow,大阪府守口市日吉町 １丁目１－１１,,34.7327339,135.5582633,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,野球塾ＲＩＳＥ,,Yakyu-juku RISE,大阪府大阪市鶴見区焼野 １－１１－１５,,34.7178586,135.5840697,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,スタジオザップ,,STUDIO Zap,大阪府寝屋川市高宮新町 ４－８,,34.7621428,135.6296583,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,ｈａｉｒｄｅｓｉｇｎＤＵＮＩＡ,,Hairdesign DUNIA,大阪府大東市野崎 １丁目７－１８ 野崎ケ丘ハイツ１０５号,,34.7188958,135.639925,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,Ｂａｒ　雑葉,,Bar Zappa,大阪府大阪市淀川区 十三本町１丁目７－４ プラザパオ３０６号　Ｂａｒ　雑葉,,34.7188867,135.4811703,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,真珠に竹馬,,Shinju ni Takeuma,大阪府茨木市 西駅前町１０ 茨木グランドハイツ１０３号,,34.8163686,135.5596061,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,日高,,Hidaka,大阪府豊中市 螢池北町３丁目１７－１５ 蛍ケ池ハイツ１０１号,,34.7997881,135.4430328,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,とんかつ串カツたにぐち,,Tonkatsu Kushi Katsu Taniguchi,大阪府大阪市此花区 春日出中２丁目１７－２,,34.6808183,135.4504981,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,ラインダンススクール,,Line Dance School,大阪府大阪市都島区 片町２丁目５－６ 京橋ハンエイビル３階,,34.6964569,135.5317494,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
