WT,600 nM,300 nM,150 nM,75 nM
22.6,0.04863853,0.03726263,0.02407238,0.01671469
22.8,0.05009321,0.0376993,0.02384692,0.01648547
23.0,0.05136941,0.03811813,0.02373012,0.01633581
23.2,0.05234529,0.03846593,0.02375756,0.01632809
23.4,0.05309034,0.03872115,0.02393808,0.01635731
23.6,0.05350905,0.03886315,0.0241865,0.01635012
23.8,0.05372031,0.03896927,0.02447314,0.01630533
24.0,0.05381626,0.03913803,0.02479146,0.01629188
24.2,0.05380704,0.03933501,0.02513778,0.01638052
24.4,0.05364945,0.03950456,0.02546719,0.01658319
24.6,0.05336848,0.03964108,0.02586781,0.01698146
24.8,0.05292731,0.0397631,0.02629094,0.01748824
25.0,0.05237348,0.04003792,0.02669717,0.01801796
25.2,0.05170599,0.04049156,0.02706318,0.01849931
25.4,0.05104823,0.04114618,0.02737327,0.01898411
25.6,0.05047699,0.04193713,0.02761077,0.01949872
25.8,0.05018439,0.04283183,0.02786756,0.02000905
26.0,0.05013483,0.04357332,0.02819825,0.0204595
26.2,0.0502825,0.04415394,0.02853635,0.02075482
26.4,0.05046719,0.04458575,0.02881835,0.02088812
26.6,0.05077696,0.04490276,0.02905212,0.02092691
26.8,0.0511292,0.04509473,0.02925029,0.02092317
27.0,0.05153109,0.04513719,0.02933794,0.0209359
27.2,0.05206339,0.04510188,0.02944562,0.02102941
27.4,0.05279034,0.0449632,0.02962205,0.02123241
27.6,0.05367065,0.04469262,0.02982025,0.02137964
27.8,0.05459229,0.0443223,0.02989966,0.02149389
28.0,0.05548502,0.04400376,0.02989212,0.02162964
28.2,0.05626266,0.04388474,0.02982652,0.02181973
28.4,0.05690362,0.04402126,0.02970398,0.0219777
28.6,0.05747207,0.04441661,0.02955932,0.02216385
28.8,0.05807592,0.04497536,0.02953171,0.02233423
29.0,0.05873839,0.04573946,0.02961243,0.02249436
29.2,0.05940491,0.0465582,0.02968563,0.02264929
29.4,0.06014936,0.04728719,0.0298042,0.02277291
29.6,0.06080694,0.04784051,0.02986238,0.02282514
29.8,0.0612887,0.0482914,0.0298214,0.02281243
30.0,0.06159424,0.04855714,0.02967959,0.02265074
30.2,0.06179393,0.04856629,0.02958253,0.02240622
30.4,0.06191534,0.04845858,0.02954778,0.02219994
30.6,0.06202869,0.04831394,0.02964058,0.02216729
30.8,0.06220693,0.04819223,0.0299471,0.0223094
31.0,0.06235389,0.0481817,0.03044152,0.02266556
31.2,0.06242335,0.04840692,0.030954,0.02316823
31.4,0.06223729,0.04878224,0.03136714,0.02369021
31.6,0.06184937,0.04929326,0.03173142,0.02422144
31.8,0.06127448,0.04986913,0.0320126,0.02466389
32.0,0.06068987,0.05041868,0.0322088,0.02500449
32.2,0.06022777,0.05075816,0.03238396,0.02525305
32.4,0.06004323,0.05097218,0.03265749,0.02541741
32.6,0.06009647,0.05112445,0.03295925,0.02546816
32.8,0.0603275,0.05115242,0.03320881,0.02545747
33.0,0.06073196,0.05100265,0.03348704,0.02538979
33.2,0.06125081,0.05076269,0.03372156,0.02523387
33.4,0.06183802,0.05036442,0.03388309,0.02501866
33.6,0.06255462,0.04977814,0.03405531,0.0247081
33.8,0.06344695,0.04922062,0.03444385,0.02437185
34.0,0.06451604,0.04884708,0.03498864,0.02406526
34.2,0.06568012,0.04863325,0.03569509,0.02377494
34.4,0.06682638,0.04862589,0.03647671,0.02356403
34.6,0.06777251,0.04893161,0.03728558,0.02349402
34.8,0.06837636,0.04941448,0.03788562,0.0235505
35.0,0.06848429,0.04994699,0.03829717,0.02360402
35.2,0.06830216,0.05049534,0.03850942,0.02371274
35.4,0.0678911,0.05109395,0.03866229,0.02388299
35.6,0.06744965,0.05171388,0.0386833,0.02415084
35.8,0.06702817,0.05225434,0.03866735,0.02451726
36.0,0.06683587,0.05271812,0.03860545,0.02497708
36.2,0.06673043,0.05316337,0.03850958,0.02556845
36.4,0.06676636,0.05359442,0.03838741,0.02630827
36.6,0.06683846,0.05397812,0.03832124,0.02713853
36.8,0.0669946,0.05434568,0.03829688,0.02798925
37.0,0.06723401,0.05475461,0.03842405,0.02886819
37.2,0.06760911,0.05516738,0.03880185,0.02962496
37.4,0.06808962,0.05561066,0.03930742,0.03012849
37.6,0.06857682,0.0560037,0.03978998,0.0302979
37.8,0.06913437,0.05638743,0.04018337,0.03023367
38.0,0.06945165,0.05669033,0.0403536,0.02999281
38.2,0.06959731,0.05698044,0.04028413,0.02963144
38.4,0.06949737,0.05715721,0.04004795,0.02920965
38.6,0.06934973,0.05723828,0.03982067,0.02876794
38.8,0.06922439,0.05720858,0.03963256,0.02825202
39.0,0.0693748,0.05719733,0.03943941,0.02774475
39.2,0.06973115,0.05712075,0.03914584,0.02736625
39.4,0.07026572,0.05694869,0.03879168,0.02711613
39.6,0.07088816,0.05671127,0.03841964,0.02699236
39.8,0.07143954,0.05663075,0.03805485,0.02706462
40.0,0.07186687,0.05669148,0.03785573,0.02724764
40.2,0.07207771,0.05694085,0.03784526,0.02745005
40.4,0.07221296,0.05738461,0.03804685,0.02770483
40.6,0.07245102,0.0579351,0.03837154,0.02791214
40.8,0.07284821,0.05832281,0.03882959,0.02797787
41.0,0.07336086,0.0585284,0.03926735,0.02790598
41.2,0.07388671,0.05865175,0.03969009,0.02768135
41.4,0.07444715,0.05873458,0.03990674,0.02734738
41.6,0.07481613,0.05884587,0.03994839,0.02697572
41.8,0.07510468,0.05905712,0.03980466,0.0266392
42.0,0.07522589,0.05933081,0.03964596,0.02645711
42.2,0.07540734,0.05955431,0.0395126,0.02648286
42.4,0.07556637,0.05976067,0.03950663,0.0266437
42.6,0.0758212,0.05987625,0.03957262,0.02698626
42.8,0.07596945,0.05987869,0.03976159,0.02757723
43.0,0.0761082,0.0598491,0.03996632,0.02830126
43.2,0.07612027,0.05991023,0.04016456,0.02904585
43.4,0.07612651,0.06005869,0.04029455,0.02982962
43.6,0.07599827,0.0603533,0.04044733,0.03063384
43.8,0.07590737,0.06082824,0.04057367,0.03137006
44.0,0.07597118,0.06139695,0.04071802,0.03195404
44.2,0.07634424,0.06181547,0.04087765,0.03235336
44.4,0.0768083,0.06212815,0.04118468,0.03258206
44.6,0.07731056,0.06229071,0.04155891,0.03258626
44.8,0.0776456,0.06235222,0.04195391,0.0323051
45.0,0.0778751,0.06234358,0.04221694,0.03193126
45.2,0.07787547,0.06248106,0.04244557,0.0315784
45.4,0.07781566,0.06265162,0.04262623,0.03120715
45.6,0.07777214,0.06287036,0.04283639,0.03089693
45.8,0.07786956,0.06302471,0.04305507,0.03065049
46.0,0.07797296,0.06305123,0.04338928,0.03039571
46.2,0.07815318,0.06290469,0.04373868,0.03022893
46.4,0.07844058,0.06271761,0.04400939,0.0302328
46.6,0.07892684,0.06258327,0.04408725,0.0303079
46.8,0.07957697,0.06258287,0.04400085,0.03035762
47.0,0.08046755,0.06275351,0.04376436,0.03037156
47.2,0.08146445,0.0631692,0.04338532,0.03026177
47.4,0.08252669,0.06372468,0.04286114,0.02999487
47.6,0.08358317,0.06433899,0.04232251,0.02965839
47.8,0.08459276,0.06486408,0.04187798,0.0294086
48.0,0.08539933,0.06534336,0.04165487,0.02921936
48.2,0.0859563,0.06560699,0.0416452,0.02902751
48.4,0.08621529,0.06572578,0.04183569,0.02888747
48.6,0.08622117,0.06579899,0.0421017,0.02879462
48.8,0.08599249,0.06594611,0.04243125,0.02867641
49.0,0.08568057,0.06602693,0.04270357,0.0284822
49.2,0.08531569,0.06600416,0.04290697,0.02835433
49.4,0.08490645,0.06586591,0.04312123,0.02826899
49.6,0.08439401,0.06556325,0.04342962,0.02830426
49.8,0.08387753,0.06515767,0.04374554,0.0285191
50.0,0.08336284,0.06469291,0.04406628,0.02902669
50.2,0.08289993,0.06430832,0.04436918,0.02962029
50.4,0.08256665,0.06412644,0.04457888,0.03024542
50.6,0.08247214,0.06415714,0.04460003,0.03083998
50.8,0.08261235,0.0643365,0.04456603,0.03143335
51.0,0.0829638,0.06458995,0.04456503,0.03195901
51.2,0.08365898,0.06492179,0.04468128,0.03252817
51.4,0.08459464,0.06522814,0.04493263,0.03307549
51.6,0.08566802,0.06560459,0.04539778,0.03353655
51.8,0.08662236,0.06604116,0.04593524,0.03390215
52.0,0.08742407,0.0666694,0.04647922,0.03413536
52.2,0.08798901,0.06746743,0.04702367,0.03412045
52.4,0.08838975,0.06835212,0.04761138,0.03394597
52.6,0.08864132,0.06906713,0.04815789,0.03365692
52.8,0.08880529,0.06949509,0.04864633,0.03328122
53.0,0.08886612,0.06975713,0.0490898,0.03285526
53.2,0.088684,0.06987218,0.04947592,0.03245992
53.4,0.08826522,0.06986814,0.04975971,0.03209624
53.6,0.08765773,0.06985936,0.05005335,0.03189833
53.8,0.08701385,0.07004608,0.05034516,0.03176488
54.0,0.08636811,0.07026521,0.05056757,0.03174783
54.2,0.08590988,0.0703914,0.05070307,0.03179044
