WT,600 nM,300 nM,150 nM,75 nM
222.0,0.17307919,0.14604469,0.10833061,0.07441313
222.2,0.17348612,0.14610416,0.10877309,0.07446223
222.4,0.17384803,0.14600611,0.10912131,0.07428543
222.6,0.17416641,0.14585347,0.10935304,0.07392552
222.8,0.17449446,0.14565874,0.1093878,0.07349857
223.0,0.17474979,0.14556582,0.10940209,0.07313596
223.2,0.17480438,0.14554257,0.1094414,0.07294103
223.4,0.17476868,0.14565788,0.10959601,0.07296313
223.6,0.17472704,0.14570508,0.10975356,0.07309073
223.8,0.17459407,0.14570385,0.11001093,0.07325688
224.0,0.17427272,0.14563504,0.11022326,0.07335085
224.2,0.17387224,0.14557402,0.1103251,0.07343686
224.4,0.17344201,0.14558014,0.1102039,0.07340681
224.6,0.1729376,0.14565784,0.10998454,0.07333934
224.8,0.17245606,0.14577247,0.10962131,0.07328733
225.0,0.17209823,0.14584349,0.10928086,0.07340378
225.2,0.17182051,0.14593195,0.10903384,0.07359334
225.4,0.17149422,0.14601163,0.10894856,0.0739037
225.6,0.17123864,0.14617575,0.10884398,0.07418678
225.8,0.17109478,0.14636923,0.10878481,0.07433672
226.0,0.17103983,0.14658816,0.10871617,0.07432138
226.2,0.1710889,0.14685804,0.10873141,0.07432562
226.4,0.17131797,0.14708194,0.10880288,0.07435303
226.6,0.1716221,0.14717925,0.10910055,0.07451016
226.8,0.17195508,0.14710928,0.10953832,0.07478806
227.0,0.17232574,0.14703529,0.11009693,0.07520779
227.2,0.1727152,0.14687532,0.11062616,0.07562996
227.4,0.17307843,0.14671698,0.11107981,0.07604159
227.6,0.1734416,0.14663717,0.11136902,0.07639032
227.8,0.17385767,0.14668284,0.11152956,0.07666131
228.0,0.17436959,0.14665698,0.11148017,0.0767548
228.2,0.17487599,0.14659322,0.11126078,0.07668781
228.4,0.17536009,0.14654772,0.11098226,0.07647622
228.6,0.17571516,0.14654705,0.11073002,0.07628092
228.8,0.17591735,0.14657677,0.11040353,0.0761437
229.0,0.17596873,0.14677943,0.11002618,0.07616253
229.2,0.17607983,0.1471664,0.10961494,0.07626956
229.4,0.17624844,0.14748718,0.10917431,0.07646874
229.6,0.17653198,0.14771068,0.10864107,0.0766828
229.8,0.17684738,0.14783215,0.10810308,0.07696217
230.0,0.17708421,0.14774207,0.10769237,0.07716955
230.2,0.17709735,0.14749203,0.10743374,0.07731272
230.4,0.17692018,0.14726366,0.10724454,0.07740378
230.6,0.17654995,0.14706641,0.10719825,0.07744598
230.8,0.17614782,0.14695905,0.10724551,0.07741251
231.0,0.17596522,0.14684813,0.10734978,0.07726389
231.2,0.17608472,0.14668795,0.10752126,0.07707878
231.4,0.1764584,0.14646915,0.10786485,0.07680541
231.6,0.1770207,0.1462227,0.1082645,0.0764705
231.8,0.17762192,0.1459768,0.10878055,0.07605491
232.0,0.17809834,0.14583955,0.10933294,0.07565932
232.2,0.17840746,0.1458405,0.10979246,0.0752473
232.4,0.17865122,0.14600962,0.10997484,0.07483738
232.6,0.17894596,0.14634528,0.11003474,0.07441684
232.8,0.17926758,0.14677663,0.10999603,0.07399306
233.0,0.17955596,0.14720913,0.10993704,0.07355651
233.2,0.1798173,0.14773755,0.10988144,0.07312266
233.4,0.18000568,0.14826692,0.1099223,0.07273327
233.6,0.18001363,0.14871864,0.10993901,0.07240827
233.8,0.17983928,0.14909665,0.10987731,0.07216461
234.0,0.17959404,0.14945873,0.10964292,0.07211264
234.2,0.17927945,0.14967947,0.10941835,0.07219531
234.4,0.17895139,0.14977999,0.10919795,0.07241985
234.6,0.17869982,0.14968223,0.10909237,0.07274808
234.8,0.17848765,0.14944804,0.1090517,0.07328928
235.0,0.17820383,0.1491619,0.10919745,0.07380445
235.2,0.17783634,0.14884917,0.10933554,0.07430714
235.4,0.17739972,0.14853223,0.10949333,0.07476045
235.6,0.1768847,0.14840254,0.1095565,0.07510174
235.8,0.17637121,0.1485349,0.10962346,0.07525058
236.0,0.1760167,0.14892659,0.10968509,0.07536561
236.2,0.17584368,0.14939197,0.10987483,0.07540333
236.4,0.17577032,0.14998982,0.11017698,0.07534404
236.6,0.1757267,0.15062107,0.11060129,0.07526916
236.8,0.17585114,0.15118859,0.11104552,0.07531585
237.0,0.1761744,0.15155214,0.11141033,0.07539425
237.2,0.17651375,0.15185112,0.11161418,0.07560182
237.4,0.17682701,0.15197471,0.11169512,0.07584069
237.6,0.17722687,0.15189486,0.11172605,0.0761193
237.8,0.17758464,0.15158455,0.11179334,0.07624779
238.0,0.17775532,0.15120408,0.11183936,0.07640306
238.2,0.17789803,0.15076895,0.11186358,0.07656434
238.4,0.17808303,0.15040352,0.11183532,0.07674566
238.6,0.17820411,0.1501523,0.11172113,0.07675542
238.8,0.17822364,0.14999362,0.11147069,0.07670541
239.0,0.17814658,0.14987374,0.11126792,0.07657113
239.2,0.17800008,0.14986155,0.11124191,0.07631973
239.4,0.17772736,0.14987867,0.11131326,0.07605025
239.6,0.17747876,0.14985362,0.11157188,0.07596172
239.8,0.17725675,0.14977156,0.11198815,0.0759834
240.0,0.17716266,0.14976427,0.11254083,0.07609061
240.2,0.17715136,0.14981703,0.1130187,0.0763856
240.4,0.17733973,0.14993043,0.11357653,0.07693838
240.6,0.17769899,0.15021137,0.11410782,0.07760293
240.8,0.17814039,0.15061695,0.1147396,0.07838199
241.0,0.17853061,0.15100361,0.11532587,0.07915812
241.2,0.17883261,0.15134407,0.11593239,0.07988619
241.4,0.17890714,0.15164522,0.11641662,0.08041961
241.6,0.17874415,0.15191285,0.11682767,0.08079547
241.8,0.17854469,0.15215133,0.11702547,0.08093275
242.0,0.17837675,0.15230761,0.11706643,0.08076946
242.2,0.17819616,0.15234605,0.11689166,0.08032693
242.4,0.17805394,0.15224781,0.11662345,0.07973821
242.6,0.17802328,0.15194951,0.11621692,0.07902789
242.8,0.17818133,0.15149336,0.11581856,0.07820782
243.0,0.17853654,0.15097937,0.1153551,0.07750587
243.2,0.17922579,0.15043195,0.11498763,0.07697703
243.4,0.18022811,0.14993165,0.11458144,0.07653568
243.6,0.18139461,0.14951473,0.11417538,0.07624784
243.8,0.18249557,0.14928415,0.11372791,0.0762387
244.0,0.18348574,0.1491461,0.11340829,0.07643812
244.2,0.18434601,0.14913737,0.11315047,0.07662985
244.4,0.18496596,0.14921245,0.11299509,0.07678111
244.6,0.18526428,0.14948897,0.11280813,0.07687528
244.8,0.18539343,0.14987521,0.1126128,0.07690127
245.0,0.18540643,0.15040575,0.11240437,0.07676613
245.2,0.18530988,0.1510315,0.11219804,0.07655273
245.4,0.18514029,0.15161053,0.11198195,0.07634865
245.6,0.18497726,0.15193294,0.11187566,0.07616791
245.8,0.18472289,0.1520347,0.11187742,0.07603387
246.0,0.18436889,0.15190719,0.11198835,0.07609096
246.2,0.18393113,0.15161691,0.1120993,0.07637672
246.4,0.1835683,0.15132625,0.11230363,0.07680372
246.6,0.1832964,0.15114975,0.11241044,0.07739829
246.8,0.18307097,0.15102136,0.11240036,0.07808603
247.0,0.18280795,0.15102556,0.11226448,0.07875687
247.2,0.18239508,0.1511154,0.11225615,0.07937056
247.4,0.18180044,0.15131115,0.11239829,0.07988306
247.6,0.18107086,0.15152655,0.11279174,0.08011478
247.8,0.18024512,0.15185272,0.11332176,0.07995483
248.0,0.17937677,0.15227891,0.11394081,0.07949441
248.2,0.17863902,0.15272954,0.11454113,0.07889078
248.4,0.17818061,0.1531259,0.11502483,0.07828554
248.6,0.17800104,0.15350166,0.11541773,0.07778301
248.8,0.17807614,0.1538104,0.11579495,0.07747329
249.0,0.17837693,0.15389304,0.11616531,0.07732627
249.2,0.17882772,0.15379832,0.11651072,0.07720676
249.4,0.17922766,0.15346266,0.11683392,0.0771815
249.6,0.17951124,0.15297074,0.11707258,0.07737054
249.8,0.17981416,0.15244167,0.1171906,0.07763321
250.0,0.18018371,0.15207854,0.11711625,0.07785803
250.2,0.18058937,0.15183664,0.11676068,0.07809758
250.4,0.18103168,0.1518755,0.11625559,0.078342
250.6,0.18156193,0.15218229,0.11579773,0.07852612
250.8,0.18213701,0.15268141,0.11549005,0.0787972
251.0,0.18271482,0.15323701,0.11539969,0.07921795
251.2,0.18308816,0.15379293,0.1155607,0.07965411
251.4,0.18317164,0.15422578,0.1158688,0.07997557
251.6,0.18301368,0.15449385,0.11615854,0.08014889
251.8,0.18275157,0.15456541,0.11623623,0.08023302
252.0,0.18243657,0.15457747,0.11608116,0.08020971
252.2,0.18226676,0.1546472,0.11573858,0.08012335
252.4,0.18231216,0.15486541,0.11527614,0.07995859
252.6,0.18250955,0.15511199,0.11484293,0.07969353
252.8,0.18262599,0.15528894,0.11460041,0.07933015
253.0,0.18263692,0.15531744,0.11452284,0.07898809
253.2,0.18259016,0.15525902,0.11457561,0.07862189
253.4,0.18259995,0.15515831,0.11472883,0.07825366
253.6,0.18257441,0.15507988,0.11487185,0.07802196
253.8,0.18271351,0.15501451,0.11504805,0.07795654
254.0,0.18304375,0.15501851,0.11527305,0.07802073
254.2,0.18346248,0.15497969,0.11555046,0.07836262
254.4,0.18383541,0.15488557,0.11581785,0.07901705
254.6,0.18409974,0.1547338,0.11611688,0.07974967
254.8,0.18411051,0.15454236,0.11632147,0.08032072
255.0,0.18392281,0.15425793,0.11638187,0.08066406
255.2,0.18369741,0.15396338,0.11618983,0.08076087
255.4,0.18347958,0.153667,0.11580152,0.08063807
255.6,0.1833129,0.15348475,0.11529308,0.08043627
255.8,0.18327245,0.15350976,0.1146881,0.08029719
256.0,0.18330567,0.15377517,0.11407338,0.08019041
256.2,0.18327004,0.15413838,0.11355464,0.08003687
256.4,0.18313649,0.1545638,0.11313257,0.07988813
256.6,0.18305628,0.15499295,0.11276949,0.07966948
256.8,0.18303327,0.15530441,0.11254303,0.07947765
257.0,0.18309888,0.15545009,0.11251902,0.07945141
257.2,0.18327117,0.15548816,0.11271625,0.07965312
257.4,0.18357667,0.15546517,0.11312552,0.07996215
257.6,0.18379484,0.1552988,0.11364258,0.08043563
257.8,0.1837385,0.1550965,0.11416609,0.08096935
258.0,0.18348214,0.15490027,0.11458521,0.08144786
258.2,0.18311871,0.15471586,0.11492414,0.08175904
258.4,0.1827712,0.15445517,0.11518028,0.08193741
258.6,0.18258909,0.15418095,0.11542566,0.08203649
258.8,0.18264162,0.15387382,0.11565383,0.08207651
259.0,0.18270658,0.15354049,0.11588536,0.08208235
259.2,0.18265848,0.15331718,0.11608033,0.08225789
259.4,0.18254181,0.15330487,0.11623544,0.08257059
259.6,0.18232276,0.15352447,0.11631549,0.08284952
259.8,0.18198919,0.15384885,0.11633729,0.08298898
260.0,0.18166357,0.154231,0.11640756,0.08302906
260.2,0.18151479,0.15448155,0.11647673,0.08278067
260.4,0.18152588,0.15457676,0.11659357,0.08241998
260.6,0.1816532,0.15460194,0.1167985,0.08207419
260.8,0.18183988,0.15474394,0.11706911,0.08180823
261.0,0.18202105,0.15501139,0.11727852,0.08160861
261.2,0.18211414,0.15536687,0.11745012,0.08149822
261.4,0.18211584,0.1557854,0.11751126,0.08135232
261.6,0.18222609,0.15608726,0.11745913,0.08115711
261.8,0.18259147,0.1562172,0.11736594,0.08090677
262.0,0.18321204,0.15620674,0.11721229,0.08052717
262.2,0.1840238,0.15614541,0.11699043,0.08015403
262.4,0.18482835,0.15594012,0.11665935,0.07984515
262.6,0.18549509,0.15577295,0.11624242,0.07967755
262.8,0.18594115,0.15574915,0.11574243,0.07972096
263.0,0.1862768,0.15580226,0.11526389,0.07997778
263.2,0.18652261,0.15584791,0.11483755,0.08033537
263.4,0.18683517,0.15590774,0.11457834,0.0806594
263.6,0.18719781,0.15593869,0.11456914,0.08086511
263.8,0.18764515,0.15585912,0.11473827,0.08090792
264.0,0.18793725,0.15568272,0.11505162,0.08093981
264.2,0.18796098,0.15553658,0.1154497,0.08099559
264.4,0.18767724,0.15541888,0.11580783,0.08104852
264.6,0.18722335,0.15531355,0.11600392,0.08115336
264.8,0.186574,0.15519644,0.11616591,0.08122456
265.0,0.18593486,0.15502511,0.1163074,0.08126551
265.2,0.18533662,0.15475933,0.11654738,0.08119868
265.4,0.18474296,0.15448652,0.11692344,0.08114726
265.6,0.18406332,0.15414016,0.11747139,0.08100269
265.8,0.18341092,0.15375629,0.11799934,0.0809484
266.0,0.1828461,0.15338146,0.11841032,0.08088803
266.2,0.18255462,0.15318298,0.11867882,0.08089796
266.4,0.18254807,0.15312748,0.11890703,0.08086195
266.6,0.18285389,0.15323182,0.11916583,0.08093358
266.8,0.18345487,0.15357669,0.11954577,0.08105649
267.0,0.18425518,0.15417019,0.12012874,0.08118608
267.2,0.18501033,0.1547338,0.12082318,0.081334
267.4,0.18568326,0.15520086,0.12144691,0.08158531
267.6,0.18611351,0.15557068,0.12179833,0.08184123
267.8,0.18635953,0.15581012,0.1218598,0.08204671
268.0,0.18643953,0.15593045,0.12160881,0.08216698
268.2,0.1865006,0.15614347,0.12117237,0.08225435
268.4,0.18651434,0.15642035,0.1206939,0.08224123
268.6,0.18667333,0.15667804,0.12035199,0.08220877
268.8,0.18671493,0.1568966,0.12030077,0.08223187
269.0,0.18666062,0.1571297,0.12051202,0.08234698
269.2,0.18657021,0.15723164,0.12086363,0.08236862
269.4,0.18653427,0.15731895,0.1211667,0.08235721
269.6,0.18653064,0.15739466,0.12137627,0.08229798
269.8,0.18665122,0.15743969,0.12148582,0.08216597
270.0,0.18671328,0.15741274,0.12159063,0.08197273
270.2,0.18662077999999999,0.15734926,0.12167217,0.0818414
270.4,0.18647034,0.15725208,0.12176486,0.08173209
270.6,0.18625741,0.15708897,0.12179955,0.08163031
270.8,0.18596406,0.15680698,0.12165253,0.08153752
271.0,0.18580065,0.15642481,0.12123284,0.08140606
271.2,0.18579611,0.15607162,0.12059765,0.08118595
271.4,0.1858391,0.15573021,0.11983204,0.08087919
271.6,0.18586518,0.15554088,0.1189885,0.08045049
271.8,0.18593471,0.15553824,0.11815765,0.07995441
272.0,0.18600482,0.15572982,0.11741812,0.07949584
272.2,0.18616946,0.15605029,0.11687784,0.07918623
272.4,0.18631911,0.15658678,0.11653895,0.07912529
272.6,0.18660328,0.15727728,0.11630973,0.07929505
272.8,0.18692844,0.15795617,0.11619336,0.07964047
273.0,0.1873025,0.15852942,0.11623074,0.08016052
273.2,0.1875518,0.15889131,0.11635582,0.08087113
273.4,0.18774691,0.15895055,0.11659402,0.08165613
273.6,0.18773446,0.15873365,0.1170391,0.08249918
273.8,0.18768056,0.15834418,0.11758001,0.08326642
274.0,0.18758877,0.1578998,0.11810368,0.08397765
274.2,0.18749326,0.15744505,0.11849475,0.08455735
274.4,0.18744639,0.15702596,0.11877534,0.0849334
274.6,0.18755858,0.15660395,0.11896164,0.08506426
274.8,0.18783305,0.1563748,0.11916197,0.08499802
275.0,0.18812205,0.15631771,0.11932448,0.08473803
275.2,0.18845245,0.15651602,0.11951912,0.08436543
275.4,0.1887968,0.15690296,0.11966697,0.08402067
275.6,0.18916093,0.15750868,0.11984252,0.08375008
275.8,0.18953525,0.15817575,0.1200286,0.08364268
276.0,0.18990139,0.15883685,0.12030372,0.08368712
276.2,0.1901972,0.15934349,0.12066099,0.08381319
276.4,0.19035064,0.15962696,0.12120268,0.08396063
276.6,0.19042126,0.15964965,0.1218005,0.08422276
276.8,0.19035887,0.15937215,0.12232361,0.08449789
277.0,0.19022273,0.15884375,0.12272407,0.0846881
277.2,0.19001835,0.15816455,0.12299033,0.0847541
277.4,0.18980216,0.15747441,0.1230069,0.08473594
277.6,0.18951647,0.15691222,0.12276426,0.08449579
277.8,0.18921447,0.15659369,0.12236063,0.0841274
278.0,0.18900968,0.15657423,0.12190482,0.08364438
278.2,0.18900072,0.15686473,0.12144343,0.08309681
278.4,0.18920511,0.15751221,0.12100324,0.08252935
278.6,0.18947877,0.15843321,0.12052667,0.08216368
278.8,0.18969887,0.15956772,0.11999577,0.08197018
279.0,0.18976448,0.16073629,0.1194699,0.08189161
279.2,0.18963851,0.16185101,0.11911587,0.08185927
279.4,0.18933896,0.16280348,0.11891839,0.08188952
279.6,0.18891786,0.16350464,0.11893772,0.08197377
279.8,0.18843431,0.16387321999999999,0.1192391,0.08213557
280.0,0.18795728,0.16388363,0.11976162,0.08246791
280.2,0.18755636,0.16363604,0.12034662,0.08299963
280.4,0.18713516,0.16309601,0.12100695,0.08360437
280.6,0.18660533,0.16240494,0.12172193,0.08416315
280.8,0.18609119,0.16167333,0.12240679,0.08464771
281.0,0.18563635,0.16106325,0.12294177,0.08500962
281.2,0.18520247,0.16050715,0.12330328,0.08514713
281.4,0.18488547,0.16005084,0.12342362,0.08523909
281.6,0.18488073,0.15965498,0.1233115,0.08520576
281.8,0.18520159,0.15934913,0.12294111,0.08511796
282.0,0.1857953,0.1590862,0.12235576,0.08507066
282.2,0.18662171,0.15886046,0.12158996,0.08516466
282.4,0.18749155,0.15869408,0.12083193,0.08516352
282.6,0.18829742,0.1585487,0.12022212,0.08505049
282.8,0.18898011,0.15841453,0.11983468,0.08478469
283.0,0.18952501,0.15838243,0.11971241,0.08441525
283.2,0.18990881,0.15849494,0.11987523,0.08410726
283.4,0.19015292,0.15863016,0.12028639,0.08392206
283.6,0.1902112,0.15876713,0.12078261,0.08386214
283.8,0.19016556,0.15892184,0.12134573,0.08391195
284.0,0.18996776,0.15905633,0.12190977,0.08402885
284.2,0.18963728,0.15922444,0.12242415,0.08401568
284.4,0.18926075,0.15953276,0.1227309,0.08394909
284.6,0.18884504,0.15989735,0.12282348,0.08383385
284.8,0.18831674,0.16023376,0.12264072,0.08363116
285.0,0.18783352,0.16046321,0.12215118,0.08334129
285.2,0.18755895,0.16060523,0.12139528,0.08305076
285.4,0.18757634,0.16065842,0.12051411,0.08281066
285.6,0.18791458,0.16067651,0.11963508,0.08260088
285.8,0.18845789,0.16061583,0.11881087,0.08246651
286.0,0.18911229,0.16053695,0.11813181,0.08234758
286.2,0.18976888,0.16037011,0.11754532,0.08221202
286.4,0.19037718,0.16016436,0.1170959,0.0820654
286.6,0.19078509,0.16004672,0.11680309,0.08208303
286.8,0.19099115,0.16002535,0.11665316,0.0822641
287.0,0.19101888,0.15999985,0.11668879,0.08251554
287.2,0.19096763,0.15998668,0.11693528,0.08283598
287.4,0.19089044,0.15994748,0.11738104,0.08319812
287.6,0.19082712,0.15984759,0.11797818,0.08351922
287.8,0.19077612,0.15967685,0.1187378,0.083711
288.0,0.19077341,0.15954782,0.11952239,0.08392907
288.2,0.19072531,0.15935756,0.12030885,0.08407611
288.4,0.19063897,0.15907513,0.1209567,0.08411863
288.6,0.1906598,0.15871392,0.12137989,0.08408216
288.8,0.19090619,0.15838135,0.12158132,0.08403256
289.0,0.19116835,0.15796559,0.12172899,0.0839002
289.2,0.19137541,0.15753496,0.12177477,0.08372754
289.4,0.19142225,0.15714243,0.12169173,0.08357748
289.6,0.19134964,0.15684876,0.12155861,0.08343902
289.8,0.19106652,0.15663305,0.12138501,0.08342603
290.0,0.19066629,0.1566352,0.12114901,0.08364662
290.2,0.19013893,0.15693381,0.1209694,0.08405034
290.4,0.18956077,0.15752027,0.1209189,0.08448912
290.6,0.18895188,0.15826196,0.12094782,0.08490634
290.8,0.1882907,0.15909673,0.12096956,0.0853127
291.0,0.18765879,0.15990988,0.12097362,0.08555643
291.2,0.18720812,0.16061571,0.12088931,0.08562492
291.4,0.18708872,0.16116288,0.12071317,0.08552953
291.6,0.18729992,0.1616362,0.1204226,0.08544272
291.8,0.18779635,0.16193898,0.12021084,0.08522652
292.0,0.18865673,0.16201669,0.12005197,0.08503204
292.2,0.18978905,0.16198733,0.12001385,0.0849212
292.4,0.19095594,0.16188198,0.12007359,0.08490107
292.6,0.19191885,0.16166384,0.12030867,0.08485094
292.8,0.19273961,0.16148078,0.12066642,0.08483606
293.0,0.1932787,0.16142184,0.12114571,0.08484935
293.2,0.19350983,0.16140352,0.12170577,0.0849793
293.4,0.19353797,0.16135121,0.12231353,0.08534535
293.6,0.19353296,0.16131802,0.12294847,0.08587161
293.8,0.19344028,0.16133963,0.12346993,0.08635363
294.0,0.19326135,0.16146972,0.12389503,0.08668843
294.2,0.19299926,0.16161284,0.12418453,0.08689062
294.4,0.19266436,0.16178426,0.1243939,0.08690013
294.6,0.19231416,0.16193477,0.12450113,0.08666617
294.8,0.1921071,0.16196375,0.12455582,0.08625689
295.0,0.19207563,0.16173816,0.12457048,0.08574781
295.2,0.19228118,0.16134392,0.12455763,0.08513132
295.4,0.19267009,0.16080833,0.12464871,0.08446898
295.6,0.19328675,0.16014608,0.12479112,0.08399523
295.8,0.19392351,0.15954443,0.12499441,0.08378615
296.0,0.1945274,0.15920708,0.12505822,0.08371377
296.2,0.19496865,0.15914311,0.12515894,0.08381918
296.4,0.19526702,0.15935227,0.12525307,0.0841317
296.6,0.19528884,0.15981624,0.12531465,0.08448215
296.8,0.19512186,0.16047494,0.12524107,0.08489444
297.0,0.19486144,0.16121063,0.12516077,0.08544826
297.2,0.19448729,0.16205723,0.12499491,0.08600185
297.4,0.19392266,0.16292773,0.12466622,0.08639096
297.6,0.19329702,0.16371643,0.12438983,0.08668512
297.8,0.19267045,0.16423903,0.12414795,0.08689771
298.0,0.19208085,0.16447575,0.12398338,0.08692928
298.2,0.1924406,0.1643389,0.12399598,0.08697072
298.4,0.1922578,0.16427428,0.12384685,0.08695638
298.6,0.19212205,0.1640452,0.12370057,0.0868547
298.8,0.19203334,0.16365163,0.12355713,0.08666567
299.0,0.19199168,0.16309359,0.12341653,0.08638929
299.2,0.19199707,0.16237108,0.12327878,0.08602556
299.4,0.1920495,0.16148409,0.12314387,0.08557449
299.6,0.19214898,0.16043262,0.1230118,0.08503607
299.8,0.19229551,0.15921668,0.12288257,0.0844103
,,,,
300.0,0.19229551,0.15921668,0.12288257,0.0844103
300.2,0.19340848,0.15952141,0.12283316,0.08476315
300.4,0.19442185,0.15983103,0.12278994,0.08510669
300.6,0.19533563,0.16014555,0.12275291,0.08544091
300.8,0.19614981,0.16046497,0.12272208,0.08576581
301.0,0.1968644,0.16078927,0.12269745,0.0860814
301.2,0.19747939,0.16111848,0.122679,0.08638766
301.4,0.19799478,0.16145257,0.12266675,0.08668461
301.6,0.19841058,0.16179156,0.1226607,0.08697223
301.8,0.19872678,0.16213544,0.12266084,0.08725054
302.0,0.19860383,0.16278234,0.12242641,0.08765338
302.2,0.19833582,0.16331027,0.12224891,0.08799388
302.4,0.19815176,0.16363537,0.12219882,0.08817857
302.6,0.19808826,0.1638303,0.12228426,0.088068
302.8,0.19808948,0.16397384,0.12243182,0.08770189
303.0,0.1981218,0.16402673,0.12270563,0.08728278
303.2,0.19820321,0.16406079,0.1230232,0.08698365
303.4,0.19835268,0.16420672,0.12325902,0.08681736
303.6,0.19857066,0.164423,0.12336603,0.08680512
303.8,0.19882247,0.16447416,0.1234046,0.08689026
304.0,0.19917072,0.16431386,0.12329813,0.08700287
304.2,0.19962589,0.16399465,0.1231696,0.08705454
304.4,0.20007429,0.16362265,0.12312035,0.08712255
304.6,0.20052866,0.16315542,0.12315274,0.08722304
304.8,0.20090176,0.16276092,0.12314666,0.08749569
305.0,0.20116174,0.16245036,0.12322436,0.08796984
305.2,0.20129781,0.16213588,0.12341657,0.08852451
305.4,0.20142265,0.16163699,0.123682,0.08894503
305.6,0.20146972,0.16111105,0.1239461,0.08917057
305.8,0.20151138,0.16052887,0.12428207,0.08905834
306.0,0.20149614,0.15996143,0.1246201,0.08860665
306.2,0.20150704,0.15959303,0.12473409,0.08803639
306.4,0.20145313,0.15956578,0.12457349,0.08753797
306.6,0.20130002,0.15973487,0.12426711,0.08723637
306.8,0.20104672,0.16009027,0.12377604,0.08724049
307.0,0.20090435,0.160596,0.12321468,0.08749978
307.2,0.20065962,0.16113202,0.12264,0.08787726
307.4,0.20033304,0.16151977,0.12218056,0.08837859
307.6,0.19990819,0.16176802,0.12177249,0.08891529
307.8,0.19950964,0.16193594,0.12151562,0.08940229
308.0,0.19902074,0.16197172,0.12136436,0.08975368
308.2,0.19868507,0.16176572,0.12144736,0.08986811
308.4,0.19841722,0.16141076,0.12165175,0.08980269
308.6,0.19824528,0.16096691,0.12202964,0.08954693
308.8,0.19805115,0.16037879,0.12255396,0.08908305
309.0,0.19786741,0.15971634,0.12312725,0.08848207
309.2,0.19763244,0.15911327,0.12360993,0.0878926
309.4,0.197461,0.15852367,0.12399705,0.08738036
309.6,0.19733473,0.1579835,0.12414256,0.08714396
309.8,0.19726577,0.15767339,0.12398076,0.08722224
310.0,0.19720568,0.15760225,0.12353277,0.08757101
310.2,0.19707336,0.15763826,0.1229542,0.08813945
310.4,0.19678242,0.15783396,0.12229201,0.08878169
310.6,0.19634832,0.15810422,0.12171416,0.08929857
310.8,0.1956877,0.15829468,0.12106327,0.08960072
311.0,0.19497166,0.15838571,0.12044872,0.08973022
311.2,0.19430636,0.15843524,0.11980291,0.08962551
311.4,0.19382761,0.15845576,0.11921962,0.08932377
311.6,0.19350896,0.15848212,0.11866533,0.08884814
311.8,0.19349033,0.15855664,0.11832224,0.08831684
312.0,0.19345772,0.15873313,0.11814098,0.08781077
312.2,0.19332994,0.15904337,0.11820074,0.08734521
312.4,0.19302766,0.15935968,0.1183674,0.08688014
312.6,0.19267132,0.15959246,0.11857215,0.08652206
312.8,0.19224657,0.15975007,0.1186748,0.08634516
313.0,0.19181309,0.1597994,0.11870045,0.0862857
313.2,0.19143931,0.15974345,0.11863015,0.08634717
313.4,0.19120733,0.15959337,0.11859594,0.08658588
313.6,0.19110941,0.15945612,0.11858937,0.08700546
313.8,0.19100297,0.15927308,0.11876514,0.08744104
314.0,0.19103894,0.15904616,0.11905794,0.08782454
314.2,0.19124628,0.15855793,0.11940968,0.08816888
314.4,0.19165765,0.15797603,0.11961403,0.088434
314.6,0.19224017,0.15738975,0.11982373,0.0885008
314.8,0.19302278,0.15685212,0.11994079,0.08849314
315.0,0.19378582,0.1563307,0.11998294,0.08850446
315.2,0.19439978,0.15598138,0.11991216,0.08859656
315.4,0.19477225,0.15581309,0.11985444,0.0886587
315.6,0.19474414,0.15574607,0.11969725,0.08865131
315.8,0.19432466,0.15569318,0.11944136,0.08859209
316.0,0.19363863,0.15567517,0.11892852,0.0884216
316.2,0.19281399,0.15583216,0.11821393,0.08818161
316.4,0.19177347,0.15611161,0.11728456,0.08792923
316.6,0.1906442,0.15636416,0.11637559,0.08768274
316.8,0.18964307,0.15655817,0.11564225,0.08737558
317.0,0.18881242,0.15666421,0.11523019,0.08711502
317.2,0.1881034,0.15674068,0.11506378,0.08684755
317.4,0.18758307,0.1566454,0.11512266,0.08657977
317.6,0.1873851,0.15642226,0.11519978,0.08630313
317.8,0.18737383,0.15607279,0.11532534,0.08600322
318.0,0.18759236,0.1558001,0.11562834,0.08568445
318.2,0.18800223,0.15541782,0.11622346,0.08535406
318.4,0.1885873,0.15493408,0.1169741,0.08508979
318.6,0.18918828,0.15443325,0.11780782,0.08493513
318.8,0.18979829,0.1541335,0.1186209,0.08491281
319.0,0.19044331,0.15398064,0.11927068,0.08493858
319.2,0.19102291,0.15395358,0.11964421,0.08500692
319.4,0.19150728,0.15409655,0.11978291,0.08506181
319.6,0.19186136,0.15437968,0.11960966,0.08496284
319.8,0.19211977,0.15463665,0.11922732,0.08473381
320.0,0.19213598,0.15477772,0.11867027,0.08442222
320.2,0.19206943,0.15488402,0.11804751,0.08404363
320.4,0.19192369,0.15502753,0.11739055,0.08363147
320.6,0.19167571,0.15516238,0.11681671,0.08344301
320.8,0.19134309,0.15531128,0.1162749,0.08349588
321.0,0.19101743,0.15533681,0.11576103,0.08367849
321.2,0.19072295,0.15519762,0.11531297,0.08390041
321.4,0.19040683,0.1548156,0.1150753,0.08415027
321.6,0.19018793,0.15424982,0.11506552,0.0844042
